filename,rel_path,is_swift_mt700,lc_number,issue_date,expiry_date,amount,currency,drawee_bic,drawee_bank,usance_days,usance_basis,applicant,beneficiary,port_loading,port_discharge
징코솔라-디원 635WP  7740pcs+100pcs LC개설 전문(2024.10.17).pdf,2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/635WP 7740pcs(2024.10.17)/징코솔라-디원 635WP  7740pcs+100pcs LC개설 전문(2024.10.17).pdf,False,,,,,,,,,,,,,
(주)디원 LC개설 전신문(징코모듈 635WP 7920pcs).pdf,2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/635WP 7920(5MW)09.19/(주)디원 LC개설 전신문(징코모듈 635WP 7920pcs).pdf,False,,,,,,,,,,,,,
징코모듈 630WP 25MW LC개설 전신문(2024.09.13).pdf,2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP  25MW 선적  2024.09.13 개설/징코모듈 630WP 25MW LC개설 전신문(2024.09.13).pdf,False,,,,,,,,,,,,,
징코모듈 630WP 40MW LC개설 전문(2024.09.27).pdf,2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP  40MW 선적 2024.09.27개설/징코모듈 630WP 40MW LC개설 전문(2024.09.27).pdf,False,,,,,,,,,,,,,
KDB_SWIFT발신_21992407_20241015175511 (1).pdf,2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP 50MW 선적(2024.10.15개설)/KDB_SWIFT발신_21992407_20241015175511 (1).pdf,True,M0215410NU00281,2024-10-15,2025-01-09,4725888.3,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD","ZHEJIANG JINKO SOLAR CO.,LTD",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
징코모듈  630WP 50MW 가전문(2024.10.15).pdf,2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP 50MW 선적(2024.10.15개설)/징코모듈  630WP 50MW 가전문(2024.10.15).pdf,True,M0215410NU00281,2024-10-15,2025-01-09,4725888.3,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD","ZHEJIANG JINKO SOLAR CO.,LTD",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
징코모듈 30MW LC개설 전문(2025.02.19).pdf,2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 635WP  45MW 가운데 30MW(2025.02.19)/징코모듈 30MW LC개설 전문(2025.02.19).pdf,False,,,,,,,,,,,,,
징코모듈 LC개설 전문(635WP 15MW 2024.12.06).pdf,2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 635WP 15MW 2024.12.06/징코모듈 LC개설 전문(635WP 15MW 2024.12.06).pdf,False,,,,,,,,,,,,,
탑솔라-트리나솔라에너지 LC개설 전문(하나은행 2025.11.28).pdf,2025년 모듈 발주/트리나/탑솔라-트리나솔라에너지 LC개설 전문(하나은행 2025.11.28).pdf,False,,,,,,,,,,,,,
탑솔라 LC가전문(KNK).pdf,2025년 모듈 발주/JA솔라 모듈/KNK/탑솔라 LC가전문(KNK).pdf,False,,,,,,,,,,,,,
"KNK에너지(JA솔라 모듈) 635WP, 640WP  LC개설 가전문.pdf","2025년 모듈 발주/JA솔라 모듈/KNK/70MW 발주/61MW 개설/KNK에너지(JA솔라 모듈) 635WP, 640WP  LC개설 가전문.pdf",False,,,,,,,,,,,,,
"KNK에너지(JA솔라 모듈) 635WP, 640WP  LC개설 전문.pdf","2025년 모듈 발주/JA솔라 모듈/KNK/70MW 발주/61MW 개설/KNK에너지(JA솔라 모듈) 635WP, 640WP  LC개설 전문.pdf",False,,,,,,,,,,,,,
KDB_SWIFT발신_21992407_20250620154618 (1)  KNK전문.pdf,2025년 모듈 발주/JA솔라 모듈/KNK/70MW 발주/9MW 선적진행/KDB_SWIFT발신_21992407_20250620154618 (1)  KNK전문.pdf,True,M0215506NU00438,2025-06-20,2025-08-09,720558.37,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.",KNK ENERGY PTE.LTD.,ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
KDB_SWIFT발신_21992407_20250714163226 어멘드.pdf,2025년 모듈 발주/JA솔라 모듈/KNK/70MW 발주/9MW 선적진행/KDB_SWIFT발신_21992407_20250714163226 어멘드.pdf,False,,2025-06-20,2025-08-15,,,,,,,,,,
라이젠-Topsolar 640WP 10MW 개설 가전문(2025.10.16).pdf,2025년 모듈 발주/라이젠/라이젠 40WM/640WP 10MW 진행/라이젠-Topsolar 640WP 10MW 개설 가전문(2025.10.16).pdf,False,,,,,,,,,,,,,
라이젠-Topsolar 640WP 10MW 개설 전문(2025.10.16).pdf,2025년 모듈 발주/라이젠/라이젠 40WM/640WP 10MW 진행/라이젠-Topsolar 640WP 10MW 개설 전문(2025.10.16).pdf,False,,,,,,,,,,,,,
KDB_SWIFT발신_30765961_20250926150519.pdf,2025년 모듈 발주/론지솔라/화신이엔지/KDB_SWIFT발신_30765961_20250926150519.pdf,True,M0215509NU00356,2025-09-26,2025-11-21,785233.44,USD,KODBKRSE,산업은행,90,B/L_DATE,"HWASIN ENG CO.,LTD.","LONGI SOLAR TECHNOLOGY CO.,LTD",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
"디원_가전문(USD2,712,417.34) 론지솔라.pdf","2025년 모듈 발주/론지솔라/디원/1차 개설 진행 33.7MW 선적서류/디원_가전문(USD2,712,417.34) 론지솔라.pdf",True,M0215508NU00281,2025-08-29,2025-12-20,2712417.34,USD,KODBKRSE,산업은행,90,B/L_DATE,"THEONE.CO.,LTD.","LONGI SOLAR TECHNOLOGY CO.,LTD.",1/3,ANY PORT OF SOUTH KOREA
론지모듈 개설전문(산업은행-디원).pdf,2025년 모듈 발주/론지솔라/디원/1차 개설 진행 33.7MW 선적서류/론지모듈 개설전문(산업은행-디원).pdf,False,,,,,,,,,,,,,
KDB_SWIFT발신_21994769_20250922152619.pdf,2025년 모듈 발주/론지솔라/디원/2차 개설 진행 37.2MW선적서류/KDB_SWIFT발신_21994769_20250922152619.pdf,True,M0215509NU00317,2025-09-22,2025-12-20,2999986.88,USD,KODBKRSE,산업은행,90,B/L_DATE,"THEONE.CO.,LTD.","LONGI SOLAR TECHNOLOGY CO.,LTD",1/3,ANY PORT OF SOUTH KOREA
디원_가전문(2025.09.22).pdf,2025년 모듈 발주/론지솔라/디원/2차 개설 진행 37.2MW선적서류/디원_가전문(2025.09.22).pdf,True,M0215509NU00317,2025-09-22,2025-12-20,2999986.88,USD,KODBKRSE,산업은행,90,B/L_DATE,"THEONE.CO.,LTD.","LONGI SOLAR TECHNOLOGY CO.,LTD",1/3,ANY PORT OF SOUTH KOREA
KDB_SWIFT발신_21992407_20260430133020  탑솔라 어멘드.pdf,2025년 모듈 발주/론지솔라/디원/석문호 론지 모듈 계약 재진행 2026년/LC전문/KDB_SWIFT발신_21992407_20260430133020  탑솔라 어멘드.pdf,False,,2026-03-05,2026-06-04,,,,,,,,,,
