rel_path,file_type,page_count,text_len
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/JWSH25070025/JWSH25070025 OBL.pdf,OBL,2,3689
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 6차 개설 24.3MW/JWSH25070026/JWSH25070026 OBL.pdf,OBL,2,3503
"2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 6차 개설 24.3MW/JWSH25080025,26/FW_ RE_ 진코 25Q3선적LC/JWSH25080025 OBL.pdf",OBL,2,3363
"2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 6차 개설 24.3MW/JWSH25080025,26/FW_ RE_ 진코 25Q3선적LC/JWSH25080026 OBL.pdf",OBL,1,2793
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 6차 개설 24.3MW/징코모듈  ETD 8.31 17718pcs/JWSH25080028 OBL.pdf,OBL,2,3785
2025년 모듈 발주/징코모듈/디원/선적서류/디원  11520pcs/JWSH25090001 OBL.pdf,OBL,2,3408
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/RE_ 진코솔라 9월 선적스케줄/디원/JWSH25090007 OBL.pdf,OBL,2,3212
2025년 모듈 발주/징코모듈/디원/선적서류/JWSH25090007 OBL.pdf,OBL,2,3212
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/RE_ 진코솔라 9월 선적스케줄/디원/JWSH25090008 OBL.pdf,OBL,2,3313
2025년 모듈 발주/징코모듈/디원/선적서류/JWSH25090008 OBL.pdf,OBL,2,3313
2025년 모듈 발주/징코모듈/디원/선적서류/디원 9252pcs/JWSH25090011 OBL.pdf,OBL,2,3277
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/RE_ 진코솔라 9월 선적스케줄/JWSH25090054 OBL.pdf,OBL,2,3043
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/RE_ 진코솔라 9월 선적스케줄/JWSH25090055 OBL.pdf,OBL,2,3556
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/RE_ 진코솔라 9월 선적스케줄/JWSH25090057 OBL.pdf,OBL,2,3424
2025년 모듈 발주/징코모듈/화신이엔지/징코-화신 635WP 17280pcs  JWSH25120010/FW_ ZJNAHW002 KR/2.JWSH25120010 OBL.pdf,OBL,2,3916
"2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/징코-탑솔라 4284pcs-JWSH25120016/BL_4,284pcs JWSH25120016.pdf",BL,1,2830
"2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/징코-탑솔라 19332pcs-JWSH25120034/RE_ [진코솔라코리아] Topsolar 52mw_CI,PL,FR 송부의 건/BL_19,332pcs JWSH25120034.pdf",BL,2,4101
"2025년 모듈 발주/징코모듈/화신이엔지/론지-징코모듈SHADHG40310/THE ONE Co., Ltd_40HQ_17_LS2512293984_ATD12.29/LS2512293984_OBL.pdf",OBL,1,3656
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 4차 개설 37MW(2025.04.07)/NBOZY6445100  16128pcs  SHKWA25011758/NBOA39932100_HBL扫描.pdf,HBL,2,3542
"2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/징코-탑솔라 17,532pcs  SELYIT256012/RE_ [진코솔라코리아] Topsolar CI, PL, FR 송부의 건/BL_17,532pcs  SELYIT256012.pdf",BL,12,26613
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 3차 개설 5.5MW(2025.04.04)/635WP  8640pcs SHKWA25009166  (2025.05.22)/MX-M5658N_20250523_141424 O BL.pdf,BL,2,3323
"2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 4차 개설 37MW(2025.04.07)/징코 10MW(16,128pcs) 2025.06.02 SHKWA25010062/SHKWA25010062 OBL.pdf",OBL,2,4376
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/RE_ 진코솔라 9월 선적스케줄/SHKWA25019106 BL update.PDF,BL,1,2299
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/RE_ 진코솔라 9월 선적스케줄/SHKWA25019106 BL.pdf,BL,1,1977
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/RE_ 진코솔라 9월 선적스케줄/SHKWA25019107 BL.pdf,BL,1,2201
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/RE_ 진코솔라 9월 선적스케줄/SHKWA25019107 HBL.pdf,HBL,2,3618
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/RE_ 진코솔라 9월 선적스케줄/SHKWA25019109 BL.pdf,BL,1,2347
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/RE_ 진코솔라 9월 선적스케줄 (마지막 선적)/SHKWA25019765 OBL.pdf,OBL,2,4048
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/RE_ 진코솔라 9월 선적스케줄 (마지막 선적)/SHKWA25019767 OBL.pdf,OBL,2,3910
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/RE_ 진코솔라 9월 선적스케줄 (마지막 선적)/하나은행/SHKWA25019768 OBL.pdf,OBL,2,2765
"2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 4차 개설 37MW(2025.04.07)/징코 10.97MW  (17,280pcs)  2025.06.08선적 SHPUS25011179/SHPU25011179   17280pcs/SHPUS25011179 OBL.pdf",OBL,5,9779
2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/징코-탑솔라 15732pcs-JWSH25120029/提单_北亚区_出口_TMNBKPTR9924001_20251217 JWSH25120029.pdf,BL,2,3570
"2025년 모듈 발주/트리나/1차 PI 50MW/트리나 1차물량 선적-하나은행 개설/TOPSOLAR 2507-TSI-09808 (1차 물량)/TOPSOLAR 2507-TSI-09808-00 (1-1) 700W 7,128pcs/TED-2507-09808-01-12-EASPH2539SK6006_BL (스캔본).PDF",BL,3,16112
"2025년 모듈 발주/트리나/1차 PI 50MW/트리나 1차물량 선적-하나은행 개설/TOPSOLAR 2507-TSI-09808 (1차 물량)/TOPSOLAR 2507-TSI-09808-00 (1-1) 700W 7,128pcs/TED-2507-09808-01-12-EASPH2539SK6006_BL.pdf",BL,2,2932
"2025년 모듈 발주/트리나/1차 PI 50MW/트리나 1차물량 선적-하나은행 개설/TOPSOLAR 2507-TSI-09808 (1차 물량)/TOPSOLAR 2507-TSI-09808-00 (1-1) 700W 7,128pcs/TED-2507-09808-01-12-CIPL.pdf",PL,2,1722
"2026년 모듈 발주/징코솔라/선적서류/RE_ 8000363763,DJSCNGB260008239_ KD2602040181,QTY_17000 PCS, 22회차 10368pcs/BL_10,368pcs.pdf",BL,1,2719
"2026년 모듈 발주/징코솔라/선적서류/RE_ 8000363763,DJSCNGB260008239_ KD2602040181,QTY_17000 PCS,  21회차 13824pcs/BL_13,824pcs.pdf",BL,1,2652
"2026년 모듈 발주/징코솔라/선적서류/RE_ 8000363763,DJSCNGB260008239_ KD2602040181,QTY_18회차 9216pcs/BL_9,216pcs.pdf",BL,1,2783
"2026년 모듈 발주/징코솔라/선적서류/RE_ 8000363763,DJSCNGB260008239_ KD2602040181,QTY_19회차 9485pcs/BL_9,485pcs.pdf",BL,1,2895
"2026년 모듈 발주/징코솔라/선적서류/RE_ [TOPSOLAR] MCKRJH25Q301_4 16차 자료/BL_17,280pcs_KD2602040182.pdf",BL,1,3063
"2026년 모듈 발주/징코솔라/선적서류/RE_ [TOPSOLAR] MCKRJH25Q301_4 14차 자료/BL_17,280pcs_KD2602040583.pdf",BL,1,3731
"2026년 모듈 발주/징코솔라/선적서류/RE_ [TOPSOLAR] MCKRJH25Q301_4 13차 자료/BL_17,280pcs_KD2602050010.pdf",BL,1,3617
"2026년 모듈 발주/징코솔라/선적서류/RE_ [TOPSOLAR] MCKRJH25Q301_4 12차 자료/BL_1,656pcs_KD2602050118.pdf",BL,1,2516
"2026년 모듈 발주/징코솔라/선적서류/RE_ [TOPSOLAR] MCKRJH25Q301_4 10차 자료/BL_17,280PCS_KD2602050263.pdf",BL,1,3327
"2026년 모듈 발주/징코솔라/선적서류/RE_ [TOPSOLAR] MCKRJH25Q301_4 11차 자료/BL_17,280pcs_KD2602050264.pdf",BL,1,2572
"2026년 모듈 발주/징코솔라/선적서류/RE_ [TOPSOLAR] MCKRJH25Q301_4 17차 자료/BL_8,576pcs_KD2602050284.pdf",BL,1,2739
"2026년 모듈 발주/트리나솔라/720WP 30MW/선적서류/TOPSOLAR 2601-TSI-00499-01 (1차, 15.4MW)/BL Copy_EASEK2606SK0001.pdf",BL,1,2004
"2026년 모듈 발주/트리나솔라/720WP 30MW/선적서류/TOPSOLAR 2601-TSI-00499-01 (1차, 15.4MW)/TED-2601-00499-00-36-CIPL.pdf",PL,2,1857
