__lc_number,__source_file,__sheet,__row,10%,1PLT  수량,90%,Amount,Amount(100%),B/L No,F/S,L/G 발행,LC,No.,P/O No.,PLT,Q'ty,Unit  price,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col23,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col5,col50,col51,col52,col53,col54,col6,col7,기타 비용,반입 후 60일,반출 기한,발주서 PI,발주일자,발주처 및 발주일자,선적,수량 (F/M包),업체,운송/창고료 (VAT포함가),유산스,입항,통관,포워더,"포장 40""",품명,현장배송
M0215506NU00370,수입진행상황(module)-2025년도.xlsx,2025,180,,,,2709367.2,,JWSH25070012,,,"산업
은행",,,400,53334,0.08,,2025-06-19,M0215506NU00370,,,,,2438430.48,,658368,,,,,,충남 천안(임창대),635,36,,,,,,,,,,,,,,,,,,,,,33867090,,,,,,,2025-07-06,14400,,44031114,,2025-07-10,광양,블루,,,2025-07-15
M42M62506NU00032,수입진행상황(module)-2025년도.xlsx,2025,257,,,,2410968,,JWSH25070025,O B/L,,"신한
은행",,,480,47460,0.08,,2025-06-20,M42M62506NU00032,,,,,2169871.2,,,11,,,,,"전남 목포(활삐,봉성리)",635,648,,,,,,,,,,,,,,,,,,,,,30137100,,,,,,,2025-07-23,17280,,48023890,,2025-07-27,광양,선진,,,2025-08-25
M0215507NU00331,수입진행상황(module)-2025년도.xlsx,2025,328,,,,1940661.6,,"JWSH25080026
(YJC김혜진)",,,"산업
은행",,,LG보류즁,38202,0.08,,2025-07-18,M0215507NU00331,"38202+
1980",,,,1746595.44,,500359.68,6.9,,,,,전남 신안(선정),635,1260,,,,,,,,,,,,,,,,,,,,,24258270,,,,1548,,,2025-08-06,10944,,34017197,,2025-08-11,광양,선진,,,2025-09-23
M04NG2506NU00032,수입진행상황(module)-2025년도.xlsx,2025,365,,,,1199997.6,,JWSH25070018,,,"기업
은행",2,"MCKRJH25Q109
(Rev.1)",7/23 발행,23622,0.08,,2025-06-20,M04NG2506NU00032,,,,,1079997.84,,1079997.84,4,,,,,경북 김천(에스비일렉트릭),635,3924,,,,,,,,,,,,,,,,,,,,,14999970,,,,4680장,,디원,2025-07-20,6342,징코,18911742,,2025-07-25,광양,블루,,JKM635N-78HL4-BDV-S,2025-08-28
M0215507NU00356,수입진행상황(module)-2025년도.xlsx,2025,460,,,,1110081.6,,"JWSH25090008
(DY ULC김나현주임)",,,"산업
은행",,,,21852,0.08,,2025-07-21,M0215507NU00356,,,,,"999,073,44",,,,,,,,경북 영천(신재영),635,144,,,,,,,,,,,,,,,,,,,,,13876020,,,,,,,2025-09-19,11520,,31289700,,2025-09-23,LG 9.24,블루,,,2025-09-29
M0215508NU00267,수입진행상황(module)-2025년도.xlsx,2025,504,,,,1431645.6,,"DJSCNGB250024685
(동진선사)
디원",,,"산업
은행",,,160,28182,0.08,,2025-08-29,M0215508NU00267,,,,,1288481.04,,,,,,,,태안군 안면읍(태안그린),635,3456,,,,,,,,,,,,,,,,,,,,,17895570,,,,,,,2025-12-01,5760,,14598160,,2025-12-04,LG,블루,,,2025-12-09
M0215506NU00438,수입진행상황(module)-2025년도.xlsx,2025,543,,31,,444971.51999999996,,PCSLJBL001250720,,,"산업
은행",3,"KNK-TOP250429

90%5,607,049.26
10% 623,005.47",252,7812,0.089,,2025-06-29,M0215506NU00438,,,,,400474.36799999996,,400474.36799999996,,,,,,탑솔라,JA 640,0,,,,,,,,,,,,,,,,,,,,,4999680,,,,,,탑솔라,2025-07-21,7812,"KNK
(JA솔라)",30621656,,2025-07-26,31장,블루,,"JAM72D42  640/LB
(USD890,054.74)",2025-07-31
M12MK2507NU00032,수입진행상황(module)-2025년도.xlsx,2025,569,,,,4895028.4799999995,,,,,"하나
은행",,,,85938,0.089,,2025-07-23,M12MK2507NU00032,캔슬완료,,캔슬진행,,4405525.631999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,55000320,,,,,,,,,,,,,,,,,
M0215506NU00438,수입진행상황(module)-2025년도.xlsx,2025,575,,31,,      ,,SNKO02N250500536,31장/PLT,有,"산업
은행",,,203,6293,0.089,,2025-06-29,M0215506NU00438,6293,,3996055,,#VALUE!,,#VALUE!,,,,,,탑솔라,JA 635,124,,,,,,,,,,,,,,,,,,,,,3996055,,,,,,,2025-06-29,6293,,,,2025-07-03,광양,블루,13,"JAM72D42  635/LB
(5,340,000.00)",2025-07-08
M12MK2507NU00032,수입진행상황(module)-2025년도.xlsx,2025,599,,,,534405.84,,,,,"하나
은행",,,,9456,0.089,,2025-07-23,M12MK2507NU00032,캔슬완료,,캔슬진행,,480965.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,6004560,,,,,,,,,,,,,,,,,
