year,vendor,prefix,has_BL,has_PL,has_CI,has_HBL,has_OBL,file_count,sample_filenames
2024,징코모듈,JWSH25030014,0,2,1,0,4,7,OBL:0014 탑솔라 수입필증 OBL JWSH25030014 2025.03.11.pdf | OBL:1374 탑솔라 수입필증 OBL SNKO03K250201374   2025.03.11.pdf | CI:CI 8000121181 SNKO03K250201374.pdf | OBL:OBL JWSH25030014.pdf | OBL:OBL SNKO03K250201374.pdf | PL:PL JWSH25030014.pdf
2024,징코모듈,RE_ [탑솔라(주)  기자재실] 100MW 모듈 구매계약서 날인본 송부드립니다 (no-id),0,2,2,0,1,5,CI:1 CI_Z20240306206-1.pdf | CI:1.CI_Z20240306203-1(UPDATE3.6).pdf | PL:2 PL_Z20240306203-1(UPDATE3.6).pdf | PL:2 PL_Z20240306206-1.pdf | OBL:4 OBL 24030082.pdf
2024,징코모듈,Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07) (no-id),0,1,1,0,0,2,CI:2 CI_Z20240326077-1.pdf | PL:3 PL_Z20240326077-1.pdf
2024,징코모듈,"RE_ 100MW수정계약,  620W계약서(684장) (no-id)",1,1,1,0,0,3,BL:1 BL EASHO2421NK232.pdf | CI:2 CI_Z20240515329-1.pdf | PL:3 PL_Z20240515329-1.pdf
2024,징코모듈,SNKO020241008028,0,1,1,0,0,2,CI:SNKO020241008028-CUSTOMS-CI.pdf | PL:SNKO020241008028-CUSTOMS-PL.pdf
2024,징코모듈,SNKO020241008037,0,1,1,0,0,2,CI:SNKO020241008037 -CUSTOMS-CI.pdf | PL:SNKO020241008037 -CUSTOMS-PL.pdf
2024,징코모듈,SNKO020241009053,0,1,1,0,0,2,CI:SNKO020241009053 -CUSTOMS-CI.pdf | PL:SNKO020241009053 -CUSTOMS-PL.pdf
2024,CSI,CSI 디원 462장 전달서류 (no-id),1,0,0,0,0,1,BL:OE00XH240805173 BL draft.pdf
2024,CSI,FW_ Fwd_ The shipping documents of THEONE (no-id),1,0,0,0,0,1,BL:OE00XH240805173 BL.pdf
2024,KNK에너지(CIS),1차 5MW 선적서류 (no-id),0,1,0,0,0,1,"PL:INV,PL-M12MK2402NU00018_1st shipment_2024 02.pdf"
2024,KNK에너지(CIS),2차 진행 10MW (no-id),0,1,0,1,0,2,PL:Commercial Invoice Packing list (KNK~Top Solar).pdf | HBL:HBL ETA 4.119.pdf
2024,KNK에너지(CIS),KNK 2차 5MW 3.4출항 (no-id),0,1,0,0,0,1,PL:Invoice PL to Top Solar_2024 02_2nd shipment.pdf
2024,KNK에너지(CIS),KNKE20240430,0,2,0,0,0,2,"PL:INV,PL to Top Solar-KNKE20240430.pdf | PL:INV,PL-KNKE20240430(Draft).pdf"
2024,KNK에너지(CIS),Re_Re_Re_Re_ Re_ 탑솔라주식회사 발주서 송부 (no-id),0,1,0,0,0,1,PL:240327_INV&PL(KNK-TOP)_10MW_signed.pdf
2024,KNK에너지(CIS),ZHC2402012,1,0,0,1,0,2,BL:BL - ZHC2402012.pdf | HBL:ZHC2402012-SNKO020240204393 HBL.PDF
2024,KNK에너지(CIS),ZHC2402013,0,0,0,2,0,2,HBL:ZHC2402013-SNKO020240204392HBL.pdf | HBL:ZHC2402013-SNKO020240204392HBL扫描件.pdf
2024,KNK에너지(CIS),ZHC2403011,0,0,0,1,0,1,HBL:ZHC2403011 HBL COPY.pdf
2024,KNK에너지(CIS),ZHC2404043,0,0,0,1,0,1,HBL:ZHC2404043-SNKO0202404415246 HBL正本扫描件.pdf
2025,라이젠,640WP 10MW 진행 (no-id),0,1,0,0,0,1,PL:RSPN251920CI&PL.pdf
2025,라이젠,라이젠모듈 선적서류 송부건 (no-id),0,1,0,0,0,1,PL:RSPN251920CI&PL.pdf
2025,라이젠,RSPN251920,2,0,0,0,0,2,BL:RSPN251920 BL ATD10.27 ETA11.3.pdf | BL:RSPN251920 BL ATD10.27 ETA11.3.pdf
2025,론지솔라,9354694996  석문호 클립 (no-id),0,1,1,1,0,3,HBL:9354694996_HWB_20260323_439_20260323.pdf | CI:LS-ONE-20260319-FREE_CI.pdf | PL:LS-ONE-20260319-FREE_PL.pdf
2025,론지솔라,LS2507279457,0,1,1,0,0,2,CI:Topsolar_ himo 10X_LS2507279457_CI.pdf | PL:Topsolar_ himo 10X_LS2507279457_PL.pdf
2025,론지솔라,LS2507281831,1,1,0,0,0,2,PL:LS2507281831  CI&PL.pdf | BL:LS2507281831_BL.pdf
2025,론지솔라,LS2507281832,0,1,0,0,0,1,PL:LS2507281832&LS2507281833CI&PL.pdf
2025,론지솔라,LS2507281833,1,0,0,0,0,1,BL:LS2507281833&LS2507281832_BL.pdf
2025,론지솔라,LS2507282128,1,1,0,0,0,2,PL:LS2507282128   CI&PL.pdf | BL:LS2507282128_BL.pdf
2025,론지솔라,LS2508283955,1,1,0,0,0,2,BL:LS2508283955&LS2508283956_BL.pdf | PL:LS2508283955&LS2508283956_CI&PL.pdf
2025,론지솔라,LS2510289290,2,2,0,0,0,4,BL:LS2510289290_BL.pdf | PL:LS2510289290_CI&PL.pdf | BL:LS2510289290_BL.pdf | PL:LS2510289290_CI&PL.pdf
2025,론지솔라,LS2510289292,2,2,0,0,0,4,PL:LS2510289292 11HQ  ATD11.3 CIPL.pdf | BL:LS2510289292_BL.pdf | PL:LS2510289292 11HQ  ATD11.3 CIPL.pdf | BL:LS2510289292_BL.pdf
2025,론지솔라,LS2511290148,2,3,0,0,3,8,PL:LS2511290148&LS2511290150CI&PL.pdf | BL:LS2511290148&LS2511290150_BL (1).pdf | OBL:LS2511290148&LS2511290150_OBL.pdf | PL:LS2511290148&LS2511290150CI&PL.pdf | OBL:LS2511290148&LS2511290150_OBL.pdf | PL:LS2511290148&LS2511290150CI&PL.pdf
2025,론지솔라,LS2512292813,0,1,0,0,1,2,PL:LS2512292813&LS2512292814_CI&PL.pdf | OBL:LS2512292813&LS2512292814_OBL.pdf
2025,론지솔라,LS2512292815,1,1,0,0,0,2,BL:LS2512292815&LS2512292985_BL.pdf | PL:LS2512292815&LS2512292985_CI&PL.pdf
2025,론지솔라,LS2512293984,0,1,0,0,1,2,PL:LS2512293984_CI&PL.pdf | OBL:LS2512293984_OBL.pdf
