file_type,classification,page_count,total_chars,avg_chars_per_page,filename,rel_path
OBL,SCAN,2,0,0.0,JWSH24110001 OBL.pdf,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\6차 SNKO020241008028(11,520PCS)\JWSH24110001 OBL.pdf"
OBL,SCAN,2,0,0.0,JWSH24110002 OBL.pdf,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\5차 SNKO020241008037(11,520PCS)\JWSH24110002 OBL.pdf"
OBL,SCAN,2,0,0.0,JWSH24110003 OBL.pdf,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\4차 SNKO020241009053 (12,996PCS)\JWSH24110003 OBL.pdf"
CI,DIGITAL,1,1333,1333.0,JWSH24110019 CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110019  14400pcs\JWSH24110019 CI.pdf
CI,DIGITAL,1,1328,1328.0,JWSH24110019-CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110019  14400pcs\JWSH24110019-CI.pdf
OBL,SCAN,2,0,0.0,JWSH24110019 OBL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110019  14400pcs\JWSH24110019 OBL.pdf
PL,DIGITAL,1,596,596.0,JWSH24110019-PL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110019  14400pcs\JWSH24110019-PL.pdf
CI,DIGITAL,1,1414,1414.0,JWSH24110020 CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110020  14400pcs\JWSH24110020 CI.pdf
CI,DIGITAL,1,1409,1409.0,JWSH24110020-CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110020  14400pcs\JWSH24110020-CI.pdf
OBL,SCAN,2,0,0.0,JWSH24110020 OBL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110020  14400pcs\JWSH24110020 OBL.pdf
PL,DIGITAL,1,692,692.0,JWSH24110020-PL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110020  14400pcs\JWSH24110020-PL.pdf
CI,DIGITAL,1,1499,1499.0,JWSH24110022 CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110022\JWSH24110022 CI.pdf
CI,DIGITAL,1,1494,1494.0,JWSH24110022-CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110022\JWSH24110022-CI.pdf
OBL,SCAN,2,0,0.0,JWSH24110022 OBL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110022\JWSH24110022 OBL.pdf
PL,DIGITAL,1,761,761.0,JWSH24110022-PL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110022\JWSH24110022-PL.pdf
CI,DIGITAL,1,1333,1333.0,JWSH24110023 CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110023\JWSH24110023 CI.pdf
