category,filename,rel_path,extracted_lcs,parent
opening_swift,징코솔라 가전문(2024.05.14).pdf,2024년 모듈발주/징코모듈/100MW 중 630W 5MW 선적진행 2024.05.25/징코솔라 가전문(2024.05.14).pdf,,100MW 중 630W 5MW 선적진행 2024.05.25
application,취소불능 화환신용장 개설 신청서(징코솔라 2024.05.14).pdf,2024년 모듈발주/징코모듈/100MW 중 630W 5MW 선적진행 2024.05.25/취소불능 화환신용장 개설 신청서(징코솔라 2024.05.14).pdf,,100MW 중 630W 5MW 선적진행 2024.05.25
acceptance,KDB_수입선적서류인수통지증_21992407_20240412155125.pdf,2024년 모듈발주/징코모듈/100MW 중 625W 10MW 03.25 선적/Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)/KDB_수입선적서류인수통지증_21992407_20240412155125.pdf,M0215403NU00300,Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)
opening_swift,KDB_SWIFT발신_M0215407NU00395 (630WP 10MW).pdf,"2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/10MW 선적진행(630WP 15,879pcs)  7.25개설/KDB_SWIFT발신_M0215407NU00395 (630WP 10MW).pdf",M0215407NU00395,"10MW 선적진행(630WP 15,879pcs)  7.25개설"
opening_swift,디원 가전문.pdf,"2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/10MW 선적진행(630WP 15,879pcs)  7.25개설/디원 가전문.pdf",M0215407NU00370,"10MW 선적진행(630WP 15,879pcs)  7.25개설"
opening_swift,디원-징코모듈 630WP 5MW LC개설 전신문.pdf,2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/630WP 5MW 진행 7920pcs/디원-징코모듈 630WP 5MW LC개설 전신문.pdf,,630WP 5MW 진행 7920pcs
application,디원 LC개설 신청서(2024.10.17).pdf,2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/635WP 7740pcs(2024.10.17)/디원 LC개설 신청서(2024.10.17).pdf,,635WP 7740pcs(2024.10.17)
opening_swift,징코솔라-디원 635WP  7740pcs+100pcs LC개설 전문(2024.10.17).pdf,2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/635WP 7740pcs(2024.10.17)/징코솔라-디원 635WP  7740pcs+100pcs LC개설 전문(2024.10.17).pdf,,635WP 7740pcs(2024.10.17)
opening_swift,(주)디원 LC개설 전신문(징코모듈 635WP 7920pcs).pdf,2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/디원 25MW/635WP 7920(5MW)09.19/(주)디원 LC개설 전신문(징코모듈 635WP 7920pcs).pdf,,635WP 7920(5MW)09.19
application,징코 모듈 630WP  25MW LC개설 Draft.pdf,2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP  25MW 선적  2024.09.13 개설/징코 모듈 630WP  25MW LC개설 Draft.pdf,,징코모듈 630WP  25MW 선적  2024.09.13 개설
