year,vendor,prefix,pl_files,pl_ids,matched_bl_filename,matched_bl_type,score,reason,alternatives,matched_bl_abs
2024,론지모듈,LS2503994178,PL:LS2503994178&79 CI&PL.pdf,LS2503994178,DL2025032400235 HBL SCANNING.pdf,HBL,10,같은폴더,,"C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2024년 모듈발주\론지모듈\론지모듈 615WP 무탄소 3MW, 탄소 2.4MW (2025.03.20)\DL2025032400235 HBL SCANNING.pdf"
2024,징코모듈,2차 징코 630WP 9216pcs (no-id),CI:1.8000012868-CUSTOMS-Z20241012070-2-CI.pdf | PL:2.8000012868-CUSTOMS-Z20241012070-2-PL(update).pdf,,JWSH24100047 OBL.pdf,OBL,10,같은폴더,,C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\2차 징코 630WP 9216pcs\JWSH24100047 OBL.pdf
2024,징코모듈,3차징코 630WP 12672pcs (no-id),CI:1.8000012866-Z20241012068-2-CI.pdf | PL:2.8000012866-Z20241012068-2-PL.pdf,,JWSH24100046 OBL.pdf,OBL,10,같은폴더,,C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\3차징코 630WP 12672pcs\JWSH24100046 OBL.pdf
2024,징코모듈,630WP 5MW 진행 7920pcs (no-id),CI:CI-Z20240910262.PDF | PL:PL-Z20240910262(1).PDF,,JWSH24090056 OBL.pdf,OBL,10,같은폴더,,C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\630WP 5MW 진행 7920pcs\JWSH24090056 OBL.pdf
2024,징코모듈,디원 징코 (no-id),CI:CI_Z20240812178-1.pdf | PL:PL_Z20240812178-1.pdf,,BL JWSH2408012 OBL.pdf,OBL,10,같은폴더,,C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\디원 징코\BL JWSH2408012 OBL.pdf
2024,징코모듈,부산 9.8MW (no-id),CI:1.CI_Z20240914116-1 2000164818.pdf | CI:1.CI_Z20240914116-1 2000164818.pdf | PL:2.PL_Z20240914116-1 2000164818.pdf | PL:2.PL_Z20240914116-1 2000164818.pdf,,3.OBL JWSH24090078.pdf,OBL,10,같은폴더,,C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  25MW 선적  2024.09.13 개설\부산 9.8MW\3.OBL JWSH24090078.pdf
2024,징코모듈,징코 5MW 7992장 (no-id),CI:CI_Z20240222247-1.pdf | PL:Packing List_탑솔라.pdf | PL:PL_Z20240222247-1.pdf,,BL - JWSH24020155.PDF,BL,10,같은폴더,BL JWSH24020155 JWL2021-ORG stamped.pdf (10) | BL JWSH24020155 JWL2021-ORG.pdf (10),C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2024년 모듈발주\징코모듈\100MW 중 625W 5MW 선적\선적서류\징코 5MW 7992장\BL - JWSH24020155.PDF
2024,징코모듈,Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07) (no-id),CI:2 CI_Z20240326077-1.pdf | PL:3 PL_Z20240326077-1.pdf,,1 BL copy JWSH24040006 JWL2021-ORG.pdf,BL,10,같은폴더,1 OBL JWSH24040006-OBL.pdf (10),C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2024년 모듈발주\징코모듈\100MW 중 625W 10MW 03.25 선적\Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)\1 BL copy JWSH24040006 JWL2021-ORG.pdf
2024,KNK에너지(CIS),1차 5MW 선적서류 (no-id),"PL:INV,PL-M12MK2402NU00018_1st shipment_2024 02.pdf",,BL - ZHC2402012.pdf,BL,10,같은폴더,ZHC2402012-SNKO020240204393 HBL.PDF (10),C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2024년 모듈발주\KNK에너지(CIS)\30MW 진행\30MW 발주서\10MW 선적진행\1차 5MW 선적서류\BL - ZHC2402012.pdf
2024,KNK에너지(CIS),KNK 2차 5MW 3.4출항 (no-id),PL:Invoice PL to Top Solar_2024 02_2nd shipment.pdf,,ZHC2402013-SNKO020240204392HBL.pdf,HBL,10,같은폴더,ZHC2402013-SNKO020240204392HBL扫描件.pdf (10),C:\Users\user\Dropbox (개인용)\8. 코딩\솔라플로우 참고 자료\2024년 모듈발주\KNK에너지(CIS)\30MW 진행\30MW 발주서\10MW 선적진행\KNK 2차 5MW 3.4출항\ZHC2402013-SNKO020240204392HBL.pdf
