year,vendor,prefix,pl_count,ci_count,sample_filename,parent_folder,sibling_bl_pdfs,parent_zips,enhanced_ids_in_filename,hypothesis
2025,트리나,"TOPSOLAR 2507-TSI-09808-00 (1-2) 710W 14,091pcs (no-id)",2,0,TED-2507-09808-13-36-CIPL.pdf,"TOPSOLAR 2507-TSI-09808-00 (1-2) 710W 14,091pcs",,,,H4
2025,트리나,"TOPSOLAR 2507-TSI-09808-00 (2-1) 710W 21,384pcs (no-id)",2,0,TED-2507-09808-37-72-CIPL.pdf,"TOPSOLAR 2507-TSI-09808-00 (2-1) 710W 21,384pcs",,"../TOPSOLAR 2507-TSI-09808-00 (2-1) 710W 21,384pcs.Zip",,H3
2025,트리나,"TOPSOLAR 2507-TSI-09808-00 (2-2) 720W 10,692pcs - 18컨 (no-id)",2,0,"TED-2507-09808-73-90,108CIPL.pdf","TOPSOLAR 2507-TSI-09808-00 (2-2) 720W 10,692pcs - 18컨",,"../TOPSOLAR 2507-TSI-09808-00 (2-2) 720W 10,692pcs - 18컨.Zip",,H3
2025,트리나,"TOPSOLAR 2507-TSI-09808-00 (2-3) 720W 10,131pcs (no-id)",2,0,TED-2507-09808-91-108CIPL.pdf,"TOPSOLAR 2507-TSI-09808-00 (2-3) 720W 10,131pcs",,"Re_ THE ONE Co., Ltd_40HQ_21_LS2512292815_ LS2512292985 _ATD12.09.zip",,H3
2025,트리나,"TOPSOLAR 2507-TSI-09808-00 (3) 720W 6,699pcs_short cable (no-id)",2,0,TED-2507-09808-04-CIPL.pdf,"TOPSOLAR 2507-TSI-09808-00 (3) 720W 6,699pcs_short cable",,,,H4
2025,JA솔라 모듈,1차선적 635WP 6293pcs(2025.06.29) (no-id),1,1,Commercial Invoice (to Top Solar)_2025 06 30.pdf,1차선적 635WP 6293pcs(2025.06.29),,,,H4
2025,JA솔라 모듈,KNKE20250724,1,0,Packing_list_(KNK~TOP_SOLAR)_KNKE20250724_(5MW).pdf,JA솔라(PCCLBL001250720),,,KNKE20250724 | PCCLBL001250720,H4
2026,라이젠에너지,라이젠 30MW 진행건 (no-id),1,0,RSPN260416CI&PL V.pdf,라이젠 30MW 진행건,,,,H4
2026,라이젠에너지,라이젠 635WP 15MW 선적서류 2026.05.06 (no-id),1,0,RSPN260416CI&PL.pdf,라이젠 635WP 15MW 선적서류 2026.05.06,RSPN260416 BL NBOZK6Q52100 ATD5.1.pdf,RISEN FR_Topsolar 1차 15MW(ETA 5월6일).zip,,H1
2026,징코솔라,"CIPL 23차 10.9MW=17,280pcs ETD 03-21 (no-id)",1,1,"CI_17,280pcs.pdf","CIPL 23차 10.9MW=17,280pcs ETD 03-21",,,,H4
