year,vendor,prefix,file_type,filename,size_bytes,rel_path
2024,징코모듈,징코 5MW 7992장 (no-id),PL,Packing List_탑솔라.pdf,240008,2024년 모듈발주\징코모듈\100MW 중 625W 5MW 선적\선적서류\징코 5MW 7992장\Packing List_탑솔라.pdf
2024,징코모듈,징코 5MW 7992장 (no-id),PL,PL_Z20240222247-1.pdf,77341,2024년 모듈발주\징코모듈\100MW 중 625W 5MW 선적\선적서류\징코 5MW 7992장\PL_Z20240222247-1.pdf
2024,징코모듈,징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10) (no-id),CI,CI 635W 11520pcs SNKO03K250201369.pdf,327490,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10)\CI 635W 11520pcs SNKO03K250201369.pdf
2024,징코모듈,징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10) (no-id),CI,CI 635W 12096pcs SNKO03K250200547.pdf,327493,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10)\CI 635W 12096pcs SNKO03K250200547.pdf
2024,징코모듈,징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10) (no-id),OBL,OBL 635W 11520pcs SNKO03K250200546.pdf,790153,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10)\OBL 635W 11520pcs SNKO03K250200546.pdf
2024,징코모듈,징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10) (no-id),OBL,OBL 635W 12096pcs SNKO03K250200547.pdf,802857,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10)\OBL 635W 12096pcs SNKO03K250200547.pdf
2024,징코모듈,징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10) (no-id),PL,PL 635W 11520pcs SNKO03K250201369.pdf,312449,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10)\PL 635W 11520pcs SNKO03K250201369.pdf
2024,징코모듈,징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10) (no-id),PL,PL 635W 12096pcs SNKO03K250200547.pdf,312449,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 15MW 개설 23616pcs( 하나2025.02.10)\PL 635W 12096pcs SNKO03K250200547.pdf
2024,징코모듈,징코선적 15MW 3.13출항 (no-id),BL,SNKO03K250201370_BL COPY.pdf,812985,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\SNKO03K250201370_BL COPY.pdf
2024,징코모듈,징코선적 15MW 3.13출항 (no-id),BL,SNKO03K250201370_BL DRAFT.pdf,114229,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\SNKO03K250201370_BL DRAFT.pdf
2024,징코모듈,징코선적 15MW 3.13출항 (no-id),BL,SNKO03K250201371_BL COPY.pdf,823481,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\SNKO03K250201371_BL COPY.pdf
