rel_path,file_type,parse_status,page_count,parsed_json
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\PL 8000121183 SNKO03K250201371.pdf,PL,success,1,"{""invoice_no"": ""Z202502200324"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM635N-78HL4-BD"", ""qty_pc"": 12060, ""pallets"": 635}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110019  14400pcs\JWSH24110019 CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025152"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 14400, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110019  14400pcs\JWSH24110019-CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025152"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4-BDV-S"", ""qty_pc"": 14400, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110019  14400pcs\JWSH24110019-PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241025152"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 14400}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110020  14400pcs\JWSH24110020 CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025153"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": "") CHINA"", ""model"": ""JKM630N-78HL4-BDV-S"", ""qty_pc"": 12888, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110020  14400pcs\JWSH24110020-CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025153"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 12888, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110020  14400pcs\JWSH24110020-PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241025153"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 12888}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110022\JWSH24110022 CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025156"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 1476, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110022\JWSH24110022-CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025156"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4-BDV-S"", ""qty_pc"": 1476, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110022\JWSH24110022-PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241025156"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 1476}"
