year,vendor,group_prefix,file_count,candidate_ids,sample_files
2024,KNK에너지(CIS),1차 5MW 선적서류 (no-id),1,ZHC2402012,"PL:INV,PL-M12MK2402NU00018_1st shipment_2024 02.pdf"
2024,KNK에너지(CIS),2차 진행 10MW (no-id),2,,HBL:HBL ETA 4.119.pdf | PL:Commercial Invoice Packing list (KNK~Top Solar).pdf
2024,KNK에너지(CIS),KNK 2차 5MW 3.4출항 (no-id),1,ZHC2402013,PL:Invoice PL to Top Solar_2024 02_2nd shipment.pdf
2024,KNK에너지(CIS),KNKE20240430,2,KNKE20240430 | ZHC2404043 | SNKO0202404415246,"PL:INV,PL to Top Solar-KNKE20240430.pdf | PL:INV,PL-KNKE20240430(Draft).pdf"
2024,KNK에너지(CIS),Re_Re_Re_Re_ Re_ 탑솔라주식회사 발주서 송부 (no-id),1,ZHC2403011,PL:240327_INV&PL(KNK-TOP)_10MW_signed.pdf
2026,라이젠에너지,RSPN260416,2,RSPN260416,BL:RSPN260416   BL DRAFT.pdf | BL:RSPN260416 BL NBOZK6Q52100 ATD5.1.pdf
2026,징코솔라,[TOPSOLAR] MCKRJH25Q301_4 9차 자료 (no-id),3,,"BL:BL_17,000pcs.pdf | CI:CI_17,000pcs.pdf | PL:PL_17,000pcs.pdf"
2026,징코솔라,"CIPL 20차 9.8MW=15,552pcs ETD 03-15 (no-id)",3,,"BL:BL_15,552pcs.pdf | CI:CI_15,552pcs.pdf | PL:PL_15,552pcs.pdf"
2026,징코솔라,"CIPL 23차 10.9MW=17,280pcs ETD 03-21 (no-id)",2,DJSCNGB260008250,"CI:CI_17,280pcs.pdf | PL:PL_17,280pcs.pdf"
2026,징코솔라,"CIPL 24차 9.2MW=14,519pcs ETD 03-15 (no-id)",3,,"BL:BL_14,519pcs.pdf | CI:CI_14,519pcs.pdf | PL:PL_14,519pcs.pdf"
2026,징코솔라,DJSCNGB260008250,1,DJSCNGB260008250,BL:提单_北亚区_出口_DJSCNGB260008250_20260327.pdf
2026,징코솔라,RE_ [TOPSOLAR] MCKRJH25Q301_4 15차 자료 (no-id),3,,"BL:BL_16,704pcs.pdf | CI:CI_16,704pcs.pdf | PL:PL_16,704pcs.pdf"
2026,징코솔라,RE_ [TOPSOLAR] MCKRJH25Q301_4 16차 자료 (no-id),1,,CI:3.8000363873-CUSTOMS-Z202602030187-2-CI-R.pdf
2025,트리나,"TOPSOLAR 2507-TSI-09808-00 (1-2) 710W 14,091pcs (no-id)",3,,BL:TED-2507-09808-13-36-BL.pdf | PL:TED-2507-09808-13-36-CIPL.pdf | PL:TED-2507-09808-13-36LC_CI&PL (통관용 무상 제품 단가 기재).pdf
2025,트리나,"TOPSOLAR 2507-TSI-09808-00 (2-1) 710W 21,384pcs (no-id)",3,,BL:TED-2507-09808-37-72-BL.pdf | PL:TED-2507-09808-37-72-CIPL.pdf | PL:TED-2507-09808-37-72LC_CI&PL 통관용.pdf
2025,트리나,"TOPSOLAR 2507-TSI-09808-00 (2-2) 720W 10,692pcs - 18컨 (no-id)",3,,"BL:TED-2507-09808-73-90,108-BL.pdf | PL:TED-2507-09808-73-90,108CIPL.pdf | PL:TED-2507-09808-73-90,108LC_CI&PL-통관용 단가 기재.pdf"
2025,트리나,"TOPSOLAR 2507-TSI-09808-00 (2-3) 720W 10,131pcs (no-id)",4,,BL:TED-2507-09808-91-108BL.pdf | BL:TED-2507-09808-91-108BL.pdf | PL:TED-2507-09808-91-108CIPL.pdf
2025,트리나,"TOPSOLAR 2507-TSI-09808-00 (3) 720W 6,699pcs_short cable (no-id)",3,,BL:TED-2507-09808-04-BL.pdf | PL:TED-2507-09808-04-CIPL.pdf | PL:TED-2507-09808-04LC_CI&PL-통관용.pdf
2026,트리나솔라,"TOPSOLAR 2601-TSI-00499-00 (2차, 14.6MW) (no-id)",3,,BL:TED-2601-00499-37-72LC_BL.pdf | PL:TED-2601-00499-37-72CIPL.pdf | PL:TED-2601-00499-37-72LC_CI&PL-통관용.pdf
2024,KNK에너지(CIS),ZHC2402012,2,ZHC2402012 | SNKO020240204393,BL:BL - ZHC2402012.pdf | HBL:ZHC2402012-SNKO020240204393 HBL.PDF
2024,KNK에너지(CIS),ZHC2402013,2,ZHC2402013,HBL:ZHC2402013-SNKO020240204392HBL.pdf | HBL:ZHC2402013-SNKO020240204392HBL扫描件.pdf
2024,KNK에너지(CIS),ZHC2403011,1,ZHC2403011,HBL:ZHC2403011 HBL COPY.pdf
2024,KNK에너지(CIS),ZHC2404043,1,ZHC2404043 | SNKO0202404415246,HBL:ZHC2404043-SNKO0202404415246 HBL正本扫描件.pdf
